URL,Nível 1,Nível 2,Nível 3,Nível 4,Nível 5,Nível 6,Nível 7,Nível 8,Nível 9
https://www.isel.pt/curso/10523/plano-de-estudos,curso,10523,plano-de-estudos,,,,,,
https://www.isel.pt/curso/10524/plano-de-estudos,curso,10524,plano-de-estudos,,,,,,
https://www.isel.pt/curso/10532/plano-de-estudos,curso,10532,plano-de-estudos,,,,,,
https://www.isel.pt/curso/10537/plano-de-estudos,curso,10537,plano-de-estudos,,,,,,
https://www.isel.pt/curso/10538/plano-de-estudos,curso,10538,plano-de-estudos,,,,,,
https://www.isel.pt/curso/10539/plano-de-estudos,curso,10539,plano-de-estudos,,,,,,
https://www.isel.pt/curso/10541/plano-de-estudos,curso,10541,plano-de-estudos,,,,,,
https://www.isel.pt/curso/10545/plano-de-estudos,curso,10545,plano-de-estudos,,,,,,
https://www.isel.pt/curso/10564/plano-de-estudos,curso,10564,plano-de-estudos,,,,,,
https://www.isel.pt/curso/10570/plano-de-estudos,curso,10570,plano-de-estudos,,,,,,
https://www.isel.pt/curso/36831/plano-de-estudos,curso,36831,plano-de-estudos,,,,,,
https://www.isel.pt/curso/37748/plano-de-estudos,curso,37748,plano-de-estudos,,,,,,
